,txt,score
0,"Bardzo dobry obraz, niezły dźwięk, łatwa obsługa (Google TV na prawdę się sprawdza).",5/5
0,"Jakość obrazu i dźwięku zachwyca, internet w TV bardzo użyteczny, obsługa intuicyjnie prosta. Polecam",5/5
0,"Przyciemnione narożniki, internet po kablu do 100Mb co jest porażką,",4/5
0,"Bardzo dobry, mały minus za drobiazgi typy lekkie zaciemnienie narożników, pilot bez podświetlenia.","4,5/5"
0,"Telewizor świetniej jakości, to mój trzeci. Jakość oglądania jest rewelacyjna. Streaming to czysta przyjemność.",5/5
0,"Bardzo dobry obraz, płynne działanie, duży plus za podwójny tuner - można włączyć nagrywanie i oglądać inny program lub YouTube lub w ogóle inną aplikacje. Nagrywanie tylko na hdd ale bez problemu obsługuje 1Tb. Szkoda że nie ma możliwości pauzowania bieżącego programu tv nawet podczas nagrywania. Google TV pracuje płynnie ale aplikacji jest dużo mniej niż w tradycyjnym Androidzie. Super czujnik jasności obrazu - sam przyciemnia i rozjaśnia. Pilot duży ale poręczny, wygodny, dobrze się obsługuje i ma super zasięg - jedynie plastik bardzo toporny zwłaszcza na plecach. Trochę nie radzi sobie z otwieraniem dysku z różnymi treściami - muszą być tylko filmy i zdjęcia - wtedy otworzy. Dźwięk dobry i przestrzenny ale płaski. Ogólnie bardzo dobrze a do drobnostek trzeba się przyzwyczaić",5/5
0,"Świetny telewizor nie jestem żadnym napalonym kino maniakiem a to już mój trzeci  SONY i nie zamienił bym tej marki na żadną inną.<br/>
Zarówno obraz z TV naziemnej jak i z dekodera NC+ igła.",5/5
0,Za tą cenę bez żadnych zarzutów.,5/5
0,"Bardzo dobra jakość obrazu, szybkie działanie poszczególnych funkcji. Super rozwiązanie z dwoma opcjami usadowienia podstawy telewizora",5/5
0,"Wszystko co jest opisane i omówione w testach tego TV jest faktem czyli. Bardzo dobra jakość obrazu. Bardzo dobre kolory i kontrast. Dźwięk przestrzenny ale jakość/moc średnia, bez niskich tonów. Dobra czerń i local dimming. Kąty widzenia jak w testach do 30° nic złego się nie dzieje przy 40-45° widać różnicę: kolor blaknie, czerń przestaje być czarna a biały szarzeje. Pilot fajny w obsłudze paruje się bez problemu z tunerem Polsatu a sam tv z soundbarem Samusng. Google TV bez zarzutu.<br/>
Nie odkryłem przez 3 tyg. żadnych wad, których nie byłem świadom przed zakupem.",5/5
0,Ok,4/5
